127.0.0.1 - - [15/Jun/2024:14:27:47 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:27:49 +0700] "GET /new-jdbc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:27:50 +0700] "GET /new-jdbc/trang-chu;jsessionid=291D7B9A0F6B8EDD4997A4AD0F3F6D0C HTTP/1.1" 200 10225
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:27:50 +0700] "GET /new-jdbc/template/web/js/scripts.js HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:27:50 +0700] "GET /new-jdbc/template/web/css/styles.css HTTP/1.1" 200 236792
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:27:52 +0700] "GET /new-jdbc/template/web/assets/favicon.ico HTTP/1.1" 200 23462
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.index.min.js HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-2.1.4.min.js HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:28 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:28:58 +0700] "GET /new-jdbc/admin-new-list HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:30:19 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:30:19 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:30:19 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:30:19 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:30:19 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:30:19 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 115813
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27466
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 200 116806
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 200 77952
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 200 396938
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 6241
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-2.1.4.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101267
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 4058
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.index.min.js HTTP/1.1" 200 55164
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36827
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 10452
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 41077
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 200 55785
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.min.map HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:33:52 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/fonts/fontawesome-webfont.woff2?v=4.5.0 HTTP/1.1" 200 66624
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:52 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6309
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:52 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:52 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:52 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:52 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:52 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.sparkline.index.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:34:53 +0700] "GET /new-jdbc/template/admin/assets/js/ace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/css/fonts.googleapis.com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/css/ace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/css/ace-rtl.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/css/ace-skins.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:36:39 +0700] "GET /new-jdbc/template/admin/assets/js/jquery.min.map HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/admin-home HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jun/2024:14:38:11 +0700] "GET /new-jdbc/template/admin/assets/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 304 -
